tool		gps 	gps 	gps 	gps 
run set		SV-COMP24_unreach-call.Suite1-SVCOMP	SV-COMP24_unreach-call.Suite1-SVCOMP	SV-COMP24_unreach-call.Suite1-SVCOMP	SV-COMP24_unreach-call.Suite1-SVCOMP
../suite1-svcomp/		status	cputime (s)	walltime (s)	memory (MB)
loop-invgen/nested6.yml	true	true	2.25302	2.2474689959999523	264.269824
loop-invgen/nested9.yml	true	TIMEOUT	600.983597	601.0246732939995	232.624128
loop-invgen/sendmail-close-angle.yml	true	KILLED	70.552624	70.54066355000396	6938.755072
loop-invgen/seq-3.yml	true	true	0.139513	0.12760824499855516	54.513664
loop-invgen/string_concat-noarr.yml	true	true	0.138498	0.1416940320050344	54.378496
loop-invgen/up.yml	true	true	0.134523	0.13539527200191515	54.468608
loop-lit/afnp2014.yml	true	KILLED	461.555128	461.3658636889959	6960.799744
loop-lit/as2013-hybrid.yml	true	true	0.151091	0.14841539599729003	55.808000
loop-lit/bh2017-ex-add.yml	true	true	0.179062	0.17843026600166922	54.460416
loop-lit/bh2017-ex1-poly.yml	true	true	0.178269	0.1725668460057932	54.644736
loop-lit/bh2017-ex3.yml	true	true	0.161862	0.16511272999923676	54.706176
loop-lit/bhmr2007.yml	true	true	0.1355	0.13477625000086846	54.714368
loop-lit/cggmp2005.yml	true	true	0.125937	0.1255969389967504	54.374400
loop-lit/cggmp2005_variant.yml	true	true	0.127123	0.12555079299636418	54.747136
loop-lit/cggmp2005b.yml	true	true	0.144027	0.12723383599950466	54.714368
loop-lit/css2003.yml	true	true	0.157968	0.15333470400219085	54.476800
loop-lit/ddlm2013.yml	true	true	0.772478	0.7757230440038256	113.266688
loop-lit/gcnr2008.yml	false	false	0.200874	0.20182103400293272	55.214080
loop-lit/gj2007.c.i.p+lhb-reducer.yml	true	true	0.157791	0.1600532270022086	54.738944
loop-lit/gj2007.c.i.p+nlh-reducer.yml	true	true	0.573272	0.5638709979975829	67.313664
loop-lit/gj2007.yml	true	true	0.142012	0.1404780730008497	54.448128
loop-lit/gj2007b.yml	true	KILLED	63.832189	63.84663527099474	6967.783424
loop-lit/gr2006.yml	true	true	0.145269	0.13400305899995146	54.444032
loop-lit/gsv2008.c.i.p+cfa-reducer.yml	true	true	0.133953	0.13738654000189854	54.624256
loop-lit/gsv2008.c.i.v+cfa-reducer.yml	true	true	0.136457	0.1405137950059725	54.460416
loop-lit/gsv2008.c.i.v+lhb-reducer.yml	true	true	0.139968	0.142402461002348	54.292480
loop-lit/gsv2008.yml	true	true	0.131741	0.1304001190001145	54.484992
loop-lit/hh2012-ex1b.yml	true	true	0.155601	0.16222611800185405	54.722560
loop-lit/hh2012-ex2b.yml	true	true	0.134894	0.1318054579969612	54.452224
loop-lit/hh2012-ex3.yml	true	true	0.159713	0.15535387399722822	54.444032
loop-lit/hhk2008.yml	true	true	0.12955	0.12476640599925304	54.718464
loop-lit/jm2006.c.i.v+cfa-reducer.yml	true	true	0.140555	0.13407657700008713	54.468608
loop-lit/jm2006.yml	true	true	0.129934	0.13313752600515727	55.029760
loop-lit/jm2006_variant.yml	true	true	0.143446	0.13242188800359145	54.984704
loop-lit/mine2017-ex4.10.yml	true	true	0.130474	0.13316532300086692	54.693888
loop-lit/mine2017-ex4.6.yml	true	true	0.129266	0.131091490999097	54.738944
loop-lit/mine2017-ex4.7.yml	true	true	0.13288	0.13944667400210164	54.456320
loop-lit/mine2017-ex4.8.yml	true	true	0.132066	0.12654819300223608	54.722560
loop-new/count_by_1.yml	true	true	0.126238	0.1306428620009683	54.456320
loop-new/count_by_1_variant.yml	true	true	0.130969	0.12987083599728066	54.181888
loop-new/count_by_2.yml	true	true	0.125306	0.12871111200365704	54.714368
loop-new/count_by_k.yml	true	KILLED	175.190649	175.20958553699893	6995.787776
loop-new/count_by_nondet.yml	true	KILLED	383.779372	383.83674003999477	6976.290816
loop-new/half.yml	true	KILLED	77.683602	77.67467684500298	6953.553920
loop-new/nested-1.yml	true	true	3.495802	3.497462755003653	285.298688
loops/count_up_down-1.yml	true	true	0.131614	0.13667485400219448	54.538240
loops/count_up_down-2.yml	false	false	0.140545	0.13457452700095018	54.423552
loops/for_bounded_loop1.yml	false	false	0.169491	0.1665680540027097	54.444032
loops/for_infinite_loop_1.yml	true	true	0.129373	0.12983806800184539	54.747136
loops/for_infinite_loop_2.yml	true	true	0.130318	0.12694333400577307	54.444032
loops/sum01-2.yml	true	true	0.129313	0.1349115740013076	54.702080
loops/sum01_bug02.yml	false	false	0.160468	0.16176581799663836	54.472704
loops/sum03-1.yml	false	false	2.1065	2.101617360000091	168.587264
loops/sum03-2.yml	true	true	0.13338	0.13807896800426533	54.706176
loops/sum04-1.yml	false	false	0.151787	0.15212516800238518	54.423552
loops/sum04-2.yml	true	true	0.124891	0.12442159700003685	54.489088
loops/terminator_02-2.yml	true	true	0.143208	0.12578914299956523	54.706176
loops/terminator_02-2_abstracted.yml	true	true	0.132782	0.1320677469993825	54.824960
loops/terminator_03-2.yml	true	true	0.1349	0.1384467279931414	54.886400
loops/terminator_03-2_abstracted.yml	true	true	0.128439	0.12916045299789403	54.706176
loops/trex01-1.yml	false	false	0.281324	0.25472311000339687	61.390848
loops/trex01-2.yml	true	true	0.254421	0.22404435799398925	55.021568
loops/trex02-1.yml	true	true	0.241472	0.21385044700582512	54.734848
loops/trex02-2.yml	false	false	0.266774	0.24557440799981123	54.747136
loops/trex03-1.yml	false	false	0.192369	0.17779184199753217	54.534144
loops/trex03-2.yml	true	true	0.157951	0.15621863900014432	54.554624
loops/trex03-2_abstracted.yml	true	true	0.130382	0.13278286300192121	54.181888
loops/trex04.yml	true	true	0.242024	0.2166631869986304	54.874112
loops/trex04_abstracted.yml	true	true	0.242795	0.21338646100048209	54.722560
loops/while_infinite_loop_1.yml	true	true	0.129227	0.12174447900179075	54.693888
loops/while_infinite_loop_2.yml	true	true	0.138693	0.12690619099885225	54.632448
loops/while_infinite_loop_3.yml	true	true	0.230014	0.2010282020055456	54.759424
loops/while_infinite_loop_4.yml	false	KILLED	255.088139	255.10907304099965	6979.473408
loops-crafted-1/Mono1_1-1.yml	false	false	0.158651	0.14732956499938155	54.677504
loops-crafted-1/Mono1_1-2.yml	true	true	0.152611	0.1457360099957441	54.083584
loops-crafted-1/Mono3_1.yml	false	false	0.156337	0.15485576799983392	54.214656
loops-crafted-1/Mono4_1.yml	false	false	0.1568	0.1521529589954298	54.788096
loops-crafted-1/Mono5_1.yml	false	false	0.159688	0.15915224100172054	54.431744
loops-crafted-1/Mono6_1.yml	false	false	0.157867	0.15640360999532277	54.476800
loops-crafted-1/iftelse.yml	true	true	1.323142	1.3238185399968643	127.324160
loops-crafted-1/in-de20.yml	true	true	0.137783	0.13392071199632483	54.980608
loops-crafted-1/in-de31.yml	true	true	0.134159	0.1278099060000386	54.464512
loops-crafted-1/in-de32.yml	true	true	0.135053	0.1347480450058356	54.689792
loops-crafted-1/in-de41.yml	true	true	0.138887	0.1318356039992068	54.214656
loops-crafted-1/in-de42.yml	true	true	0.137828	0.1351525260033668	54.464512
loops-crafted-1/in-de51.yml	true	true	0.142735	0.14575075799803017	54.743040
loops-crafted-1/in-de52.yml	true	true	0.140977	0.13745650599594228	54.669312
loops-crafted-1/in-de61.yml	true	true	0.145054	0.14354718899994623	54.468608
loops-crafted-1/in-de62.yml	true	true	0.148084	0.1447042829968268	54.435840
loops-crafted-1/loopv1.yml	true	true	0.164259	0.16241576299944427	54.878208
loops-crafted-1/loopv2.yml	true	true	0.140979	0.13453684600244742	54.657024
loops-crafted-1/loopv3.yml	true	KILLED	95.880955	95.88104847099748	6985.129984
loops-crafted-1/mono-crafted_1.yml	true	true	0.150231	0.14444186599575914	59.158528
loops-crafted-1/mono-crafted_10.yml	true	true	0.144257	0.14359162600158015	54.767616
loops-crafted-1/mono-crafted_11.yml	true	true	0.146356	0.13375387500127545	54.439936
loops-crafted-1/mono-crafted_12.yml	true	true	0.144681	0.14231612099683844	54.472704
loops-crafted-1/mono-crafted_13.yml	true	true	0.148456	0.14915900400228566	54.460416
loops-crafted-1/mono-crafted_14.yml	true	true	0.150139	0.1445097270043334	54.480896
loops-crafted-1/mono-crafted_3.yml	true	true	0.150742	0.15568053100287216	54.812672
loops-crafted-1/mono-crafted_6.yml	true	true	0.153273	0.15196308300073724	54.386688
loops-crafted-1/mono-crafted_7.yml	true	true	0.150463	0.1528523460001452	54.714368
loops-crafted-1/mono-crafted_8.yml	true	true	0.144709	0.14337528299802216	54.218752
loops-crafted-1/mono-crafted_9.yml	true	true	0.145048	0.14336970200383803	54.460416
loops-crafted-1/nested3-1.yml	true	true	0.167822	0.1667905479989713	54.194176
loops-crafted-1/nested3-1_abstracted.yml	true	true	0.190405	0.192404314999294	54.689792
loops-crafted-1/nested3-2.yml	false	false	0.152746	0.15131962900341023	54.468608
loops-crafted-1/nested3-2_abstracted.yml	false	false	0.147678	0.14162448800198035	54.468608
loops-crafted-1/nested5-1.yml	true	true	0.377235	0.3781361119981739	54.788096
loops-crafted-1/nested5-2.yml	false	false	0.175476	0.17806869900232414	56.217600
loops-crafted-1/nested_delay_nd.yml	true	KILLED	230.220398	230.25490563499625	6959.280128
loops-crafted-1/nested_delay_notd2.yml	false	TIMEOUT	601.127613	601.1703424969965	5962.653696
